"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"BNP Paribas","0.78","EQUITY","BNP","Large Value","2002-06-30","2403477","364409","Financial Services","173033227","65.93","-0.17|-0.26%","66.4-65.73","1202832","68.4-41.36","France","2.67","55.2","10.56","17.48","82469.27","EUR","3","9.85","10.93","-","-","-"
"Novo Nordisk A/S B","0.76","EQUITY","NOVO B","Large Core","2002-06-30","3967482","225449","Healthcare","170471925","266.6","1.6|0.6%","267.8-263.5","923292","384.8-218.2","Denmark","-0.26","-27.86","3.79","9.47","675750","DKK","3","5.85","17.31","-","-","-"
"Vodafone Group PLC","0.76","EQUITY","VOD","Large Growth","1996-03-31","59331940","5430463","Communication Services","168500805","221.8","1.5|0.68%","222.5-216.05","13430394","240.1-186.5","United Kingdom","15.04","1.43","8.17","7.18","58648.44","GBX","3","14.58","-","-","-","-"
"Diageo PLC","0.73","EQUITY","DGE","Large Growth","1997-12-31","5502735","389684","Consumer Defensive","162616405","2458.33","16.33|0.67%","2462.83-2442","1801799","2479-1946","United Kingdom","8.7","14.16","13.45","9.63","61457.25","GBX","3","16.86","25.57","-","-","-"
"Daimler AG","0.7","EQUITY","DAI","Large Value","2000-03-31","2147661","56843","Consumer Cyclical","155767309","59.45","-0.4|-0.67%","59.79-59.22","1215081","73.23-58.01","Germany","-12.5","4.63","2.94","13.25","64027.53","EUR","4","-10.77","6.48","-","-","-"
"ING Groep NV","0.67","EQUITY","INGA","Large Value","2016-10-31","8654770","838166","Financial Services","149405614","15.85","0.04|0.22%","15.85-15.76","4744178","15.91-9.35","Netherlands","8.6","68.4","19.77","27.12","61318.82","EUR","2","21.39","13.51","-","-","-"
"Unilever PLC","0.65","EQUITY","ULVR","Large Growth","1994-04-30","2666768","221873","Consumer Defensive","144320543","4340","13|0.3%","4356.43-4305.5","451830","4428.5-3050.5","United Kingdom","9.7","25.92","20.67","16.3","124761.41","GBX","3","33.18","23.85","-","-","-"
"Reckitt Benckiser Group PLC","0.63","EQUITY","RB.","Large Growth","2001-12-31","1386052","110529","Consumer Defensive","140509134","7421","70|0.95%","7430-7332","436283","8110.43-6496","United Kingdom","3.38","0.89","14.88","18.24","51711.44","GBX","3","8.13","24.64","-","-","-"
"LVMH Moet Hennessy Louis Vuitton SE","0.62","EQUITY","MC","Large Growth","2000-12-31","553961","46607","Consumer Cyclical","138521231","213.35","0.2|0.09%","214.5-211.9","237701","239.65-145.75","France","-5.89","41.6","19.4","13.07","107133.1","EUR","2","18.94","24.5","-","-","-"
"Lloyds Banking Group PLC","0.61","EQUITY","LLOY","Large Value","1996-03-31","158877068","21977957","Financial Services","136917215","65.58","-0.92|-1.38%","66.75-65.53","71267279","73.58-50.68","United Kingdom","-3.9","32.48","-0.8","19.32","47517.35","GBX","4","9.9","31.67","-","-","-"
"Prudential PLC","0.59","EQUITY","PRU","Large Value","1990-09-30","5757169","531226","Financial Services","132149431","1831","21.5|1.19%","1834.5-1810","1019402","1844-1290","United Kingdom","5.45","41.72","11.54","21.14","46704.31","GBX","2","13.06","24.13","-","-","-"
